Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2017-11-09,20828.740919223757,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2017,11,4,3,45,INR/ETH
2017-11-10,19441.868995337747,-0.06658452996580344,-0.06890487175097405,,,,,,,,,,,,,,,20828.740919223757,,,,,-110.63365774589329,-22.126731549178658,-88.50692619671463,,,,,,2017,11,4,4,45,INR/ETH
2017-11-11,20444.195921989623,0.05155507049719543,0.050270088062790194,,,,,,,,,,,,,,,19441.868995337747,,,,,-116.09396345212008,-40.92017792976694,-75.17378552235314,,,,,,2017,11,4,5,45,INR/ETH
2017-11-12,20004.16697610496,-0.02152341660017898,-0.02175842355160263,,,,,,,,,,,,,,,20444.195921989623,,,,,-154.15099678594925,-63.56634170100341,-90.58465508494584,,,,,,2017,11,4,6,45,INR/ETH
2017-11-13,20637.31018026592,0.03165056585046755,0.031160010739687233,,,,,,,,,,,,,,,20004.16697610496,,,,,-131.70390408837193,-77.19385417847712,-54.5100499098948,,,,,,2017,11,4,0,46,INR/ETH
2017-11-14,22094.033303904813,0.07058686965086469,0.06820697442487933,,,,,,,,,,,,,,,20637.31018026592,,,,,3.589581866253866,-61.03716696953093,64.6267488357848,,,,,,2017,11,4,1,46,INR/ETH
2017-11-15,21806.014013320677,-0.013036066643985378,-0.013121781902221243,,,20750.90433002107,939.9888545878425,5.084644343779965,,,,,,,,,,22094.033303904813,,,,,86.57194703349523,-31.515344168925697,118.08729120242093,,,,,,2017,11,4,2,46,INR/ETH
2017-11-16,21646.86430014437,-0.007298432124233534,-0.007325195982282065,,0.047378527163933426,20867.779098724015,1000.2118136529258,3.733436115719634,,,,,,,,,,21806.014013320677,20828.740919223757,,,,137.90434208740044,2.3685930823395296,135.5357490050609,,,,,,2017,11,4,3,46,INR/ETH
2017-11-17,21675.41324762511,0.0013188490991071777,0.0013179801815309392,,0.03535076197683489,21186.856849050782,807.1473485143283,2.3059409050390443,,,,,,,,,,21646.86430014437,19441.868995337747,,,,178.82787998179992,37.66045046223161,141.16742951956832,,,,,,2017,11,4,4,46,INR/ETH
2017-11-18,22667.77816991089,0.04578297589756475,0.04476586409432523,,0.034443742542661714,21504.511455896678,898.533306238933,5.40940777194562,,,,,,,,,,21675.41324762511,20444.195921989623,,,,288.0155700816176,87.73147438610881,200.28409569550882,,,,,,2017,11,4,5,46,INR/ETH
